id_zaloznika,id_igre
96127,1891
96127,48667
150689,3377
84595,1891
141836,29077
141836,12
141836,2747
174989,2348
174989,7988
203119,1891
199460,1891
195074,2334
31282,1891
78748,2334
78748,1277
200900,3955
51904,1891
46697,1891
122190,15126
122190,26326
86408,12
86408,1971
86408,6490
42918,2334
42918,1277
51233,126
51233,1392
51233,1866
51233,5837
52872,3955
62942,1891
193990,12
70372,1891
59294,20199
59294,1971
59294,12
59294,2747
50427,2
50427,5837
115902,1096
217980,28103
87551,1891
87551,48667
216560,12
216560,2747
52226,1891
52226,6063
52226,6034
24246,3955
73001,51546
73001,10445
107419,2334
107419,47447
203910,3955
55403,814
55403,5837
30577,126
30577,1392
30577,1866
30577,2
30577,5837
210462,1891
120555,3955
46614,1096
46614,5837
141485,5152
141485,5941
141485,3613
218917,3613
115729,25897
115729,2334
110476,1891
27089,1277
27089,2334
27089,5837
27089,6130
38697,13596
84194,27035
24117,69
24117,1392
24117,5837
24117,12
24117,7849
33397,2334
33397,1277
33397,6130
18696,13596
22361,7009
22361,1460
22361,13596
60922,2334
60922,1277
60922,2482
216563,7989
59026,2795
25103,1891
55167,2334
55167,1277
55167,2482
55167,32074
55167,27820
95966,3377
95966,10420
95966,5133
37535,2334
37535,2482
37535,1277
37535,5837
42180,1891
72089,2334
72089,2482
42258,5941
42258,3613
42258,7849
25761,13596
33378,1891
62275,1096
62785,1891
67674,2334
67674,1277
67674,2482
67674,7487
64620,1518
64620,5837
64620,23216
11216,13596
34773,4351
34773,4353
34773,10359
174940,13596
161320,2
143668,126
7783,1891
29294,13596
29294,5837
21633,99
21633,4353
21633,10359
52057,6944
52057,3967
52057,7849
52057,5837
210733,2482
210733,1277
210733,2334
188601,6034
188601,1891
47486,21
45664,1277
45664,2334
45664,2482
149407,13596
113066,2334
113066,1277
42472,9343
101142,21433
101142,9948
101142,28303
101142,21450
39411,9343
24865,25
24865,7025
52918,13596
52918,5837
6627,1891
19812,7025
56174,814
56174,7849
21652,1518
170037,13596
194057,51851
194057,22995
39788,1096
39788,1866
198497,171
78064,29077
10162,12
10162,3967
10162,2747
77737,2348
77737,7988
53708,1891
30479,13596
30479,5837
190774,1277
190774,2334
190774,47447
44900,2
44900,5837
53511,1891
40888,1277
40888,2334
40888,2482
40888,5837
172841,1891
20162,1891
19412,99
19412,4351
19412,4353
6613,1891
30817,2334
30817,1277
30817,2482
30817,5837
45585,13596
146798,1277
146798,2482
146798,2334
146798,7487
5870,4351
5870,4353
5870,99
17344,2334
17344,1277
17344,3955
17344,2482
32021,9343
29958,1891
166282,2334
166282,1277
166282,2482
166282,47447
48914,9343
15623,2
7248,1891
19710,6405
19710,1866
19710,3882
19710,1872
19710,36903
19710,5837
19710,858
19710,2317
19710,6375
39354,3955
39354,1872
39354,5837
153477,2482
153477,2334
81134,25897
80992,20453
80992,30690
80992,16866
15735,4353
15735,99
15735,4351
15735,5837
5933,2747
5933,12
7300,1891
74464,1891
142015,13596
142015,24982
3549,1891
3549,20522
29886,6405
29886,1872
29886,3884
29886,6957
29886,5837
29886,7849
29886,2317
224693,6034
74938,57014
74938,9948
74938,26407
52419,2334
52419,1277
47408,3955
47408,5837
195765,42515
19271,1891
19271,6034
19271,6063
19875,2334
19875,2482
19875,1277
113492,2348
113492,25
14152,2747
14152,1760
14152,3967
20164,1891
155,17
155,126
9610,6034
9610,6063
16619,7009
16619,1460
16619,13596
51611,16180
51611,5036
51611,71
210927,154
172725,2334
172725,6002
172725,13112
3556,2482
3556,1120
3556,1119
3556,5038
3556,34
3556,13363
3556,28638
3556,3613
3556,5152
3556,5941
209564,27820
216878,12
216878,2747
223654,60242
150140,25
53890,1891
53890,6063
53890,6034
136046,38491
136046,44543
79643,15778
169624,2334
169624,1277
23801,2
115348,20616
198508,2
14831,2
102905,2482
102905,7487
2465,45
2465,12
2465,4323
2465,36714
2465,5837
2465,1697
21692,28638
21692,2482
21692,5152
21692,5038
21692,5837
8725,1891
17870,12
17870,2879
17870,13596
17870,44535
33867,1096
33867,3955
33867,1866
33867,1872
33867,5837
115141,2482
115141,2334
115141,32074
53611,2334
53611,2482
53611,1277
121476,3955
5899,1891
178917,1277
178917,2334
178917,2482
178917,32074
50244,2
50244,5837
31074,25
31074,4480
31074,3882
31074,5837
7353,2747
7353,12
7353,3967
72146,13596
43958,1518
43958,5837
199777,3613
50873,2
158999,1891
21550,13596
6591,1891
210676,55377
84102,3613
25505,6034
25505,1891
25505,6063
25505,6064
5163,2
3646,1891
3646,1971
3646,3613
3646,5941
3646,5152
143581,171
74669,1891
3550,1891
186311,27820
65975,1891
43158,2334
43158,1277
44546,6681
44546,1891
44546,6034
44546,6063
207900,32322
207900,24982
73287,2
74052,23752
111565,3967
111565,12
111565,26326
194426,13596
124242,15847
61532,1891
9237,4353
9237,99
9237,4351
35529,13596
35529,11800
35529,11342
35529,2555
35529,6957
35529,4767
35529,6309
35529,2804
4268,1891
195171,202
19356,2
96620,29869
37114,2
73144,6251
73144,1518
18299,5993
18299,4624
18299,3407
67038,21789
101948,3955
33975,21
112809,12
112809,2747
77813,6201
77813,13596
3728,5038
3728,1120
3728,1119
3728,3613
3728,2334
3728,5941
39623,2747
39623,3967
39623,6944
39623,6957
39623,5837
39623,7849
59677,17140
18194,2
18194,5837
177783,15126
177783,858
30617,1392
30617,126
30617,26027
5211,4353
5211,99
5211,4351
53059,2334
53059,1277
53059,2482
53156,6405
1404,5941
1404,5152
1404,13101
31277,13596
31277,2
31277,5033
31277,1872
31277,5837
23761,7989
23761,1277
196112,26207
54684,2747
180055,3967
180055,7849
176849,2334
176849,1277
176849,47447
122188,6034
122188,6063
122188,6035
122188,3613
122188,5152
49434,1518
49434,5837
42684,1891
39287,1277
39287,2334
39287,27820
67805,21
173968,15847
16009,1891
6602,1891
12679,1891
7525,1277
7525,2334
7525,2482
163431,2334
163431,1277
163431,47447
67173,17584
10751,2
7662,13596
7662,7850
7662,1518
7662,5837
205088,3955
112181,8880
15574,1891
219115,6305
219115,12
219115,2747
198390,52951
3909,2482
3909,1277
3909,2334
81684,13596
