id,zanr
96127,Action
150689,Role-playing (RPG)
84595,Action
141836,Role-playing (RPG)
174989,Role-playing (RPG)
203119,Action
199460,Action
195074,Action
31282,Action
78748,Action
200900,Action
51904,Action
46697,Action
122190,Role-playing (RPG)
86408,Role-playing (RPG)
42918,Action
51233,Action
51233,Puzzle
52872,Action
62942,Action
193990,Compilation
193990,Role-playing (RPG)
70372,Action
59294,Role-playing (RPG)
50427,Compilation
50427,Role-playing (RPG)
115902,Action
217980,Strategy / tactics
87551,Racing / Driving
216560,Action
52226,Role-playing (RPG)
24246,Action
73001,Role-playing (RPG)
107419,Action
203910,Action
55403,Action
30577,Compilation
210462,Action
120555,Action
46614,Action
141485,Role-playing (RPG)
218917,Role-playing (RPG)
115729,Action
115729,Puzzle
110476,Action
27089,Action
38697,Action
84194,Action
24117,Strategy / tactics
33397,Action
18696,Racing / Driving
22361,Action
60922,Action
216563,Action
59026,Role-playing (RPG)
25103,Action
55167,Action
95966,Role-playing (RPG)
37535,Action
42180,Action
42180,Compilation
72089,Role-playing (RPG)
42258,Action
25761,Action
33378,Action
62275,Action
62275,Racing / Driving
62785,Action
67674,Action
67674,Compilation
64620,Action
11216,Racing / Driving
34773,Action
174940,Racing / Driving
161320,Action
143668,Action
7783,Action
29294,Racing / Driving
21633,Action
52057,Strategy / tactics
210733,Action
188601,Role-playing (RPG)
47486,Strategy / tactics
45664,Action
149407,Simulation
113066,Action
42472,Action
42472,Simulation
101142,Action
39411,Action
39411,Simulation
24865,Action
52918,Action
6627,Action
19812,Action
19812,Simulation
56174,Compilation
56174,Special edition
21652,Action
170037,Action
194057,Action
194057,Simulation
39788,Action
39788,Racing / Driving
198497,Action
78064,Action
10162,Action
77737,Role-playing (RPG)
53708,Action
30479,Action
190774,Action
44900,Role-playing (RPG)
53511,Action
40888,Action
172841,Action
20162,Action
19412,Action
19412,Role-playing (RPG)
6613,Action
6613,Compilation
30817,Action
45585,Racing / Driving
146798,Action
5870,Action
17344,Action
32021,Action
32021,Simulation
29958,Action
166282,Action
48914,Action
48914,Simulation
15623,Sports
7248,Action
19710,Strategy / tactics
39354,Action
153477,Role-playing (RPG)
81134,Action
80992,Role-playing (RPG)
80992,Simulation
15735,Action
5933,Sports
7300,Action
74464,Action
142015,Action
3549,Action
29886,Action
224693,Role-playing (RPG)
74938,Role-playing (RPG)
52419,Action
47408,Action
195765,Role-playing (RPG)
19271,Strategy / tactics
19875,Action
113492,Action
14152,Sports
20164,Racing / Driving
155,Action
9610,Strategy / tactics
16619,Action
51611,Role-playing (RPG)
210927,Action
172725,Action
3556,Role-playing (RPG)
209564,Puzzle
216878,Role-playing (RPG)
223654,Action
150140,Action
150140,Sports
53890,Action
53890,Puzzle
136046,Role-playing (RPG)
79643,Action
169624,Action
23801,Sports
115348,Adventure
198508,Action
14831,Action
14831,Racing / Driving
102905,Action
2465,Role-playing (RPG)
21692,Role-playing (RPG)
8725,Action
17870,Action
33867,Action
33867,Racing / Driving
115141,Action
53611,Action
121476,Action
5899,Action
178917,Role-playing (RPG)
50244,Action
31074,Action
7353,Sports
72146,Action
43958,Action
199777,Action
50873,Compilation
158999,Action
21550,Racing / Driving
6591,Action
210676,Adventure
84102,Role-playing (RPG)
25505,Action
5163,Sports
3646,Role-playing (RPG)
3646,Strategy / tactics
143581,Action
74669,Action
3550,Action
186311,Action
65975,Racing / Driving
43158,Action
44546,Role-playing (RPG)
207900,Role-playing (RPG)
73287,Sports
74052,Simulation
111565,Compilation
111565,Special edition
194426,Adventure
124242,Action
61532,Action
61532,Puzzle
61532,Strategy / tactics
9237,Action
9237,Role-playing (RPG)
35529,Action
35529,Puzzle
4268,Action
195171,Action
195171,Compilation
195171,Educational
19356,Action
19356,Racing / Driving
96620,Action
37114,Sports
73144,Educational
73144,Simulation
18299,Action
67038,Action
101948,Role-playing (RPG)
33975,Compilation
112809,Role-playing (RPG)
77813,Adventure
3728,Role-playing (RPG)
39623,Strategy / tactics
59677,Adventure
18194,Action
177783,Special edition
30617,Action
5211,Action
53059,Compilation
53156,Sports
1404,Action
31277,Role-playing (RPG)
23761,Action
196112,Role-playing (RPG)
196112,Simulation
196112,Strategy / tactics
54684,Action
180055,Strategy / tactics
176849,Action
176849,Compilation
122188,Role-playing (RPG)
49434,Action
42684,Action
42684,Role-playing (RPG)
39287,Action
67805,Compilation
67805,Role-playing (RPG)
173968,Puzzle
173968,Strategy / tactics
16009,Action
6602,Action
12679,Compilation
7525,Racing / Driving
163431,Action
67173,Action
67173,Compilation
10751,Sports
7662,Strategy / tactics
205088,Adventure
112181,Adventure
15574,Action
219115,Role-playing (RPG)
198390,Action
3909,Racing / Driving
3909,Simulation
81684,Racing / Driving
